region_type,region,date,statistic,num_people
state,"Anhui, China (State/Province)",2020-02-22,deaths,6
state,"Anhui, China (State/Province)",2020-02-22,recovered,597
state,"Anhui, China (State/Province)",2020-02-23,active,346
state,"Anhui, China (State/Province)",2020-02-23,confirmed,989
state,"Anhui, China (State/Province)",2020-02-23,deaths,6
state,"Anhui, China (State/Province)",2020-02-23,recovered,637
state,"Anhui, China (State/Province)",2020-02-24,active,320
state,"Anhui, China (State/Province)",2020-02-24,confirmed,989
state,"Anhui, China (State/Province)",2020-02-24,deaths,6
state,"Anhui, China (State/Province)",2020-02-24,recovered,663
state,"Anhui, China (State/Province)",2020-02-25,active,271
state,"Anhui, China (State/Province)",2020-02-25,confirmed,989
state,"Anhui, China (State/Province)",2020-02-25,deaths,6
state,"Anhui, China (State/Province)",2020-02-25,recovered,712
state,"Anhui, China (State/Province)",2020-02-26,active,239
state,"Anhui, China (State/Province)",2020-02-26,confirmed,989
state,"Anhui, China (State/Province)",2020-02-26,deaths,6
state,"Anhui, China (State/Province)",2020-02-26,recovered,744
state,"Anhui, China (State/Province)",2020-02-27,active,191
state,"Anhui, China (State/Province)",2020-02-27,confirmed,989
state,"Anhui, China (State/Province)",2020-02-27,deaths,6
state,"Anhui, China (State/Province)",2020-02-27,recovered,792
state,"Anhui, China (State/Province)",2020-02-28,active,163
state,"Anhui, China (State/Province)",2020-02-28,confirmed,990
state,"Anhui, China (State/Province)",2020-02-28,deaths,6
state,"Anhui, China (State/Province)",2020-02-28,recovered,821
state,"Anhui, China (State/Province)",2020-02-29,active,116
state,"Anhui, China (State/Province)",2020-02-29,confirmed,990
state,"Anhui, China (State/Province)",2020-02-29,deaths,6
state,"Anhui, China (State/Province)",2020-02-29,recovered,868
state,"Anhui, China (State/Province)",2020-03-01,active,111
state,"Anhui, China (State/Province)",2020-03-01,confirmed,990
state,"Anhui, China (State/Province)",2020-03-01,deaths,6
state,"Anhui, China (State/Province)",2020-03-01,recovered,873
state,"Anhui, China (State/Province)",2020-03-02,active,67
state,"Anhui, China (State/Province)",2020-03-02,confirmed,990
state,"Anhui, China (State/Province)",2020-03-02,deaths,6
state,"Anhui, China (State/Province)",2020-03-02,recovered,917
state,"Anhui, China (State/Province)",2020-03-03,active,48
state,"Anhui, China (State/Province)",2020-03-03,confirmed,990
state,"Anhui, China (State/Province)",2020-03-03,deaths,6
state,"Anhui, China (State/Province)",2020-03-03,recovered,936
state,"Anhui, China (State/Province)",2020-03-04,active,28
state,"Anhui, China (State/Province)",2020-03-04,confirmed,990
state,"Anhui, China (State/Province)",2020-03-04,deaths,6
state,"Anhui, China (State/Province)",2020-03-04,recovered,956
state,"Anhui, China (State/Province)",2020-03-05,active,14
state,"Anhui, China (State/Province)",2020-03-05,confirmed,990
state,"Anhui, China (State/Province)",2020-03-05,deaths,6
state,"Anhui, China (State/Province)",2020-03-05,recovered,970
state,"Anhui, China (State/Province)",2020-03-06,active,5
state,"Anhui, China (State/Province)",2020-03-06,confirmed,990
state,"Anhui, China (State/Province)",2020-03-06,deaths,6
state,"Anhui, China (State/Province)",2020-03-06,recovered,979
state,"Anhui, China (State/Province)",2020-03-07,active,5
state,"Anhui, China (State/Province)",2020-03-07,confirmed,990
state,"Anhui, China (State/Province)",2020-03-07,deaths,6
state,"Anhui, China (State/Province)",2020-03-07,recovered,979
state,"Anhui, China (State/Province)",2020-03-08,active,0
state,"Anhui, China (State/Province)",2020-03-08,confirmed,990
state,"Anhui, China (State/Province)",2020-03-08,deaths,6
state,"Anhui, China (State/Province)",2020-03-08,recovered,984
state,"Anhui, China (State/Province)",2020-03-09,active,0
state,"Anhui, China (State/Province)",2020-03-09,confirmed,990
state,"Anhui, China (State/Province)",2020-03-09,deaths,6
state,"Anhui, China (State/Province)",2020-03-09,recovered,984
state,"Anhui, China (State/Province)",2020-03-10,active,0
state,"Anhui, China (State/Province)",2020-03-10,confirmed,990
state,"Anhui, China (State/Province)",2020-03-10,deaths,6
state,"Anhui, China (State/Province)",2020-03-10,recovered,984
state,"Anhui, China (State/Province)",2020-03-11,active,0
state,"Anhui, China (State/Province)",2020-03-11,confirmed,990
state,"Anhui, China (State/Province)",2020-03-11,deaths,6
state,"Anhui, China (State/Province)",2020-03-11,recovered,984
state,"Anhui, China (State/Province)",2020-03-12,active,0
state,"Anhui, China (State/Province)",2020-03-12,confirmed,990
state,"Anhui, China (State/Province)",2020-03-12,deaths,6
state,"Anhui, China (State/Province)",2020-03-12,recovered,984
state,"Anhui, China (State/Province)",2020-03-13,active,0
state,"Anhui, China (State/Province)",2020-03-13,confirmed,990
state,"Anhui, China (State/Province)",2020-03-13,deaths,6
state,"Anhui, China (State/Province)",2020-03-13,recovered,984
state,"Anhui, China (State/Province)",2020-03-14,active,0
state,"Anhui, China (State/Province)",2020-03-14,confirmed,990
state,"Anhui, China (State/Province)",2020-03-14,deaths,6
state,"Anhui, China (State/Province)",2020-03-14,recovered,984
state,"Anhui, China (State/Province)",2020-03-15,active,0
state,"Anhui, China (State/Province)",2020-03-15,confirmed,990
state,"Anhui, China (State/Province)",2020-03-15,deaths,6
state,"Anhui, China (State/Province)",2020-03-15,recovered,984
state,"Arizona, US (State/Province)",2020-01-26,active,1
